Release Year,Technobasin,Case,rate,Year,kg CO2 eq / MJ
2023,Fort Worth,REF,avg,2036,0.0630320173786894
2023,Green River,REF,avg,2036,0.0592158644437581
2023,Gulf,REF,avg,2036,0.061168966662304
2023,Permian,REF,avg,2036,0.061413197930977
2023,Piceance,REF,avg,2036,0.0622808738775203
2023,San Juan,REF,avg,2036,0.0683639667606406
2023,South Oklahoma,REF,avg,2036,0.0621574190915091
2023,Strawn,REF,avg,2036,0.0626954521096671
2023,US,REF,avg,2036,0.0598545444629559
2023,Uinta,REF,avg,2036,0.0623248360580094
2023,Anadarko,LRC,avg,2037,0.0642141457252719
2023,Appalachian,LRC,avg,2037,0.0573607759112268
2023,Arkla,LRC,avg,2037,0.0577708627657052
2023,Arkoma,LRC,avg,2037,0.0654684529727904
2023,East Texas,LRC,avg,2037,0.0624826974748852
2023,Fort Worth,LRC,avg,2037,0.0630320173786894
2023,Green River,LRC,avg,2037,0.0592187393705643
2023,Gulf,LRC,avg,2037,0.0611661349677849
2023,Permian,LRC,avg,2037,0.0614132942820651
2023,Piceance,LRC,avg,2037,0.0622808738775203
2023,San Juan,LRC,avg,2037,0.0683924350114538
2023,South Oklahoma,LRC,avg,2037,0.0621574190915091
2023,Strawn,LRC,avg,2037,0.0626954521096671
2023,US,LRC,avg,2037,0.0598539084863841
2023,Uinta,LRC,avg,2037,0.0623160433357377
2023,Anadarko,REF,avg,2037,0.0641644906763746
2023,Appalachian,REF,avg,2037,0.0573607759112268
2023,Arkla,REF,avg,2037,0.0577703316523553
2023,Arkoma,REF,avg,2037,0.0654692734039217
2023,East Texas,REF,avg,2037,0.0624854387753334
2023,Fort Worth,REF,avg,2037,0.0630320173786894
2023,Green River,REF,avg,2037,0.0592158644437581
2023,Gulf,REF,avg,2037,0.061168966662304
2023,Permian,REF,avg,2037,0.061413197930977
2023,Piceance,REF,avg,2037,0.0622808738775203
2023,San Juan,REF,avg,2037,0.0683639667606406
2023,South Oklahoma,REF,avg,2037,0.0621574190915091
2023,Strawn,REF,avg,2037,0.0626954521096671
2023,US,REF,avg,2037,0.0598545444629559
2023,Uinta,REF,avg,2037,0.0623248360580094
2023,Anadarko,LRC,avg,2038,0.0642483277467044
2023,Appalachian,LRC,avg,2038,0.0573607759112268
2023,Arkla,LRC,avg,2038,0.0577689737872605
2023,Arkoma,LRC,avg,2038,0.0654618895237398
2023,East Texas,LRC,avg,2038,0.0624802852972375
2023,Fort Worth,LRC,avg,2038,0.0630320173786894
2023,Green River,LRC,avg,2038,0.0592213529403881
2023,Gulf,LRC,avg,2038,0.0611670785576927
2023,Permian,LRC,avg,2038,0.0614138723885933
2023,Piceance,LRC,avg,2038,0.0622808738775203
2023,San Juan,LRC,avg,2038,0.0684054829597432
2023,South Oklahoma,LRC,avg,2038,0.0621574190915091
2023,Strawn,LRC,avg,2038,0.0626954521096671
2023,US,LRC,avg,2038,0.0598543096707925
2023,Uinta,LRC,avg,2038,0.062307250613466
2023,Anadarko,REF,avg,2038,0.0642248091632322
2023,Appalachian,REF,avg,2038,0.0573607759112268
2023,Arkla,REF,avg,2038,0.0577642737735079
2023,Arkoma,REF,avg,2038,0.0654536852124265
2023,East Texas,REF,avg,2038,0.0624794914791751
2023,Fort Worth,REF,avg,2038,0.0630320173786894
2023,Green River,REF,avg,2038,0.0592210915834057
2023,Gulf,REF,avg,2038,0.0611666318170977
2023,Permian,REF,avg,2038,0.0614145468462095
2023,Piceance,REF,avg,2038,0.0622808738775203
2023,San Juan,REF,avg,2038,0.0683829455945161
2023,South Oklahoma,REF,avg,2038,0.0621574190915091
2023,Strawn,REF,avg,2038,0.0626954521096671
2023,US,REF,avg,2038,0.0598544600634812
2023,Uinta,REF,avg,2038,0.062307250613466
2023,Anadarko,LRC,avg,2039,0.0642568244031205
